Nomor,Tanggal,ACRA BLOUSE,ADERA BLOUSE,AGINDA MINI DRESS,AKHIRA MINI DRESS,ALAKA ETHNIC OUTER,AMICA DRESS,AQILA OUTER,ARUMI BLOUSE,AVI REBROWN OUTER,AVILA DRESS,BALY SKIRT L  ,BALY SKIRT M  ,BALY SKIRT S  ,BEN LIGHT BLOUSE M,BENITA BLOUSE L  ,BENIZA BLOUSE S  ,BERAL BLOUSE S,BIANDRA BLOUSE M,BLANGKON KRATONAN MM,BLAXA DRESS S  ,BLAZER KEBAYA BORDIR,BLAZER PAYET TENUN M,BLAZER PAYET TENUN XL,BLAZER PRES SOGAN AYM L,BLOUSE LEAVES SEA M,BLUS BORDIR SJJ,BLUS DB SONGKET SPR XXL,BLUS EM SOGAN SKT L,BLUS HTM 2 MTF YN M,BLUS HTM 2 MTF YN S,BLUS KOM TENUN XL,BLUS KOTAK KTM SOGAN XL,BLUS KTM BORDIR S
1,1/1/2019,2,4,2,2,4,3,2,1,6,4,5,3,4,3,5,7,3,2,2,4,5,3,5,6,3,1,2,2,5,7,4,5,3
2,2/1/2019,3,2,3,5,4,1,4,5,3,5,6,4,3,4,4,3,2,4,5,3,4,6,6,4,4,5,2,1,1,1,1,4,5
3,3/1/2019,2,1,1,2,3,2,2,3,5,3,2,2,6,4,3,5,3,1,1,1,1,1,1,2,3,4,5,2,4,5,3,2,6
4,4/1/2019,4,2,5,6,2,3,5,3,6,2,1,1,1,4,2,3,1,5,2,3,1,1,2,2,1,14,6,7,8,4,7,4,2
5,5/1/2019,8,11,6,8,7,5,6,5,8,6,9,3,5,9,7,6,8,5,4,5,8,3,4,1,1,7,4,9,2,4,5,4,3
6,6/1/2019,11,8,7,4,7,8,7,11,5,8,9,10,9,18,16,15,10,7,5,9,7,6,9,6,8,8,7,8,17,11,9,7,6
7,7/1/2019,2,5,3,4,2,5,7,3,5,2,6,3,4,7,6,7,4,2,5,6,8,4,3,4,4,5,7,8,4,5,6,8,3
8,8/1/2019,4,8,5,5,3,6,5,8,6,3,4,7,8,6,5,4,7,5,7,4,4,6,4,8,7,6,7,5,7,5,5,6,5
9,9/1/2019,8,4,7,2,4,5,3,5,3,3,5,4,4,4,6,4,6,4,6,4,6,5,4,4,2,3,4,5,2,3,3,4,5
10,10/1/2019,2,4,3,5,4,4,4,6,4,5,4,5,4,6,4,3,5,6,7,8,9,7,6,7,3,4,6,7,7,6,4,3,3
11,11/1/2019,5,4,6,3,4,2,5,3,1,5,2,3,5,3,4,1,1,4,2,2,6,4,3,5,2,2,5,2,3,4,5,6,6
12,12/1/2019,7,8,9,6,9,12,7,9,6,11,6,8,9,5,6,9,8,15,9,11,8,6,7,7,8,5,8,5,8,11,10,10,9